排名,电影名称,详情,评分,评价人数,短评
77,沉默的羔羊,导演: 乔纳森·戴米 Jonathan Demme   主演: 朱迪·福斯特 Jodie Foster / 安...                            1991 / 美国 / 剧情 犯罪 惊悚,8.9,,
78,小鞋子,导演: 马基德·马基迪 Majid Majidi   主演: 默罕默德·阿米尔·纳吉 Mohamma...                            1997 / 伊朗 / 剧情 儿童 家庭,9.2,,
79,飞越疯人院,导演: 米洛斯·福尔曼 Miloš Forman   主演: 杰克·尼科尔森 Jack Nichols...                            1975 / 美国 / 剧情,9.1,,
80,布达佩斯大饭店,导演: 韦斯·安德森 Wes Anderson   主演: 拉尔夫·费因斯 Ralph Fiennes / ...                            2014 / 美国 德国 英国 / 剧情 喜剧 冒险,8.9,1050923,
81,蝴蝶效应,导演: 埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber   主...                            2004 / 美国 加拿大 / 剧情 悬疑 科幻 惊悚,8.9,1035499,
82,禁闭岛,导演: Martin Scorsese   主演: 莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ...                            2010 / 美国 / 剧情 悬疑 惊悚,8.9,1080372,
83,致命魔术,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 休·杰克曼 Hugh Jackman...                            2006 / 英国 美国 / 剧情 悬疑 惊悚,8.9,939602,
84,心灵捕手,导演: 格斯·范·桑特 Gus Van Sant   主演: 马特·达蒙 Matt Damon / 罗宾·...                            1997 / 美国 / 剧情,9.0,,
85,低俗小说,导演: 昆汀·塔伦蒂诺 Quentin Tarantino   主演: 约翰·特拉沃尔塔 John Tra...                            1994 / 美国 / 剧情 喜剧 犯罪,8.9,,
86,超脱,导演: 托尼·凯耶 Tony Kaye   主演: 艾德里安·布洛迪 Adrien Brody / 马西...                            2011 / 美国 / 剧情,9.0,697508,
87,哈利·波特与密室,导演: Chris Columbus   主演: 丹尼尔·雷德克里夫 Daniel Radcliffe / 艾玛...                            2002 / 英国 美国 / 奇幻 冒险,8.9,,
88,摩登时代,导演: 查理·卓别林 Charles Chaplin   主演: 查理·卓别林 Charles Chaplin ...                            1936 / 美国 / 剧情 喜剧 爱情,9.3,,
