排名,电影名称,详情,评分,评价人数,短评
149,神偷奶爸,导演: 皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud   主演: ...                            2010 / 美国 法国 / 喜剧 动画 冒险,8.7,1024960,
150,萤火之森,导演: 大森贵弘 Takahiro Omori   主演: 佐仓绫音 Ayane Sakura / 内山昂辉 K...                            2011 / 日本 / 剧情 爱情 动画 奇幻,8.8,594107,
151,喜宴,导演: 李安 Ang Lee   主演: 赵文瑄 Winston Chao / 归亚蕾 Ya-lei Kuei / 郎...                            1993 / 中国台湾 美国 / 剧情 喜剧 爱情 同性 家庭,9.0,,
152,告白,导演: 中岛哲也 Tetsuya Nakashima   主演: 松隆子 Takako Matsu / 冈田将生 ...                            2010 / 日本 / 剧情 悬疑,8.8,725421,
153,头号玩家,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 泰伊·谢里丹 Tye Sheri...                            2018 / 美国 / 动作 科幻 冒险,8.6,1480635,
154,玛丽和马克思,导演: 亚当·艾略特 Adam Elliot   主演: 托妮·科莱特 Toni Collette / 菲利...                            2009 / 澳大利亚 美国 / 剧情 喜剧 动画,9.0,450409,
155,七武士,导演: 黑泽明 Akira Kurosawa   主演: 三船敏郎 Toshirô Mifune / 志村乔 ...                            1954 / 日本 / 动作 冒险 剧情,9.3,,
156,模仿游戏,导演: 莫滕·泰杜姆 Morten Tyldum   主演: 本尼迪克特·康伯巴奇 Benedict C...                            2014 / 英国 美国 / 剧情 传记 战争 同性,8.8,705925,
157,大鱼,导演: 蒂姆·波顿 Tim Burton   主演: 伊万·麦克格雷格 Ewan McGregor / 阿...                            2003 / 美国 / 剧情 爱情 奇幻 冒险,8.8,,
158,惊魂记,导演: 阿尔弗雷德·希区柯克 Alfred Hitchcock   主演: 安东尼·博金斯 Antho...                            1960 / 美国 / 悬疑 惊悚 恐怖,9.0,,
159,射雕英雄传之东成西就,导演: 刘镇伟 Jeffrey Lau   主演: 梁朝伟 Tony Leung Chiu Wai / 林青霞 Bri...                            1993 / 中国香港 / 喜剧 奇幻 武侠 古装,8.7,,
160,血战钢锯岭,导演: 梅尔·吉布森 Mel Gibson   主演: 安德鲁·加菲尔德 Andrew Garfield /...                            2016 / 澳大利亚 美国 / 剧情 传记 历史 战争,8.7,841356,
161,我是山姆,导演: 杰茜·尼尔森 Jessie Nelson   主演: Sean Penn / Dakota Fanning / Mi...                            2001 / 美国 / 剧情 家庭,9.0,,
162,你的名字。,导演: 新海诚 Makoto Shinkai   主演: 神木隆之介 Ryûnosuke Kamiki / 上...                            2016 / 日本 / 剧情 爱情 动画,8.5,1554086,
163,阳光姐妹淘,导演: 姜炯哲 Hyeong-Cheol Kang   主演: 沈恩京 Eun-kyung Shim / 闵孝琳 Hy...                            2011 / 韩国 / 剧情 喜剧,8.8,626245,
164,恐怖直播,导演: 金秉祐 Byeong-woo Kim   主演: 河正宇 Jung-woo Ha / 李璟荣 Kyeong-y...                            2013 / 韩国 / 剧情 犯罪 悬疑,8.7,712111,
165,黑客帝国3：矩阵革命,导演: 拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski   ...                            2003 / 美国 / 动作 科幻,8.8,,
166,背靠背，脸对脸,导演: 黄建新 Jianxin Huang / 杨亚洲 Yazhou Yang   主演: 牛振华 Zhenhua N...                            1994 / 中国大陆 中国香港 / 剧情,9.5,,
167,心灵奇旅,导演: 彼特·道格特 Pete Docter / 凯普·鲍尔斯 Kemp Powers   主演: 杰米·...                            2020 / 美国 / 动画 奇幻 音乐,8.7,,
168,电锯惊魂,导演: 詹姆斯·温 James Wan   主演: 雷·沃纳尔 Leigh Whannell / 加利·艾...                            2004 / 美国 / 悬疑 惊悚 恐怖,8.7,594187,
169,三块广告牌,导演: 马丁·麦克唐纳 Martin McDonagh   主演: 弗兰西斯·麦克多蒙德 France...                            2017 / 英国 美国 / 剧情 犯罪,8.7,898303,
170,小丑,导演: 托德·菲利普斯 Todd Phillips   主演: 杰昆·菲尼克斯 Joaquin Phoeni...                            2019 / 美国 加拿大 / 剧情 犯罪 惊悚,8.7,,
171,谍影重重3,导演: 保罗·格林格拉斯 Paul Greengrass   主演: 马特·达蒙 Matt Damon / ...                            2007 / 美国 德国 法国 英国 / 动作 悬疑 惊悚,8.9,458236,
172,达拉斯买家俱乐部,导演: 让-马克·瓦雷 Jean-Marc Vallée   主演: 马修·麦康纳 Matthew McCon...                            2013 / 美国 / 剧情 传记 同性,8.8,494238,
173,疯狂原始人,导演: 科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders   主演...                            2013 / 美国 / 喜剧 动画 冒险,8.7,902349,
174,无间道2,导演: 刘伟强 Andrew Lau / 麦兆辉 Alan Mak   主演: 陈冠希 Edison Chen / ...                            2003 / 中国香港 / 剧情 犯罪 惊悚,8.8,,
175,绿里奇迹,导演: 弗兰克·德拉邦特 Frank Darabont   主演: 汤姆·汉克斯 Tom Hanks / ...                            1999 / 美国 / 犯罪 剧情 奇幻 悬疑,8.9,,
176,爱在午夜降临前,导演: 理查德·林克莱特 Richard Linklater   主演: 伊桑·霍克 Ethan Hawke ...                            2013 / 美国 希腊 / 剧情 爱情,8.9,457021,
177,海街日记,导演: 是枝裕和 Hirokazu Koreeda   主演: 绫濑遥 Haruka Ayase / 长泽雅美 M...                            2015 / 日本 / 剧情 家庭,8.8,505718,
178,风之谷,导演: 宫崎骏 Hayao Miyazaki   主演: 岛本须美 Sumi Shimamoto / 松田洋治 Y...                            1984 / 日本 / 动画 奇幻 冒险,8.9,,
179,上帝之城,导演: 费尔南多·梅里尔斯 Fernando Meirelles / 卡迪亚·兰德 Kátia Lund  &nbsp...                            2002 / 巴西 法国 / 犯罪 剧情,9.0,,
180,疯狂的石头,导演: 宁浩 Hao Ning   主演: 郭涛 Tao Guo / 刘桦 Hua Liu / 连晋 Teddy Lin                            2006 / 中国大陆 中国香港 / 喜剧 犯罪,8.6,902889,
181,英雄本色,导演: 吴宇森 John Woo   主演: 周润发 Yun-Fat Chow / 狄龙 Lung Ti / 张国...                            1986 / 中国香港 / 剧情 动作 犯罪,8.6,,
182,雨中曲,导演: 斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly   主演: 吉恩·...                            1952 / 美国 / 喜剧 歌舞 爱情,9.1,,
183,心迷宫,导演: 忻钰坤 Yukun Xin   主演: 霍卫民 Weimin Huo / 王笑天 Xiaotian Wang ...                            2014 / 中国大陆 / 剧情 犯罪 悬疑,8.7,595939,
184,2001太空漫游,导演: 斯坦利·库布里克 Stanley Kubrick   主演: 凯尔·杜拉 Keir Dullea / ...                            1968 / 英国 美国 / 科幻 惊悚 冒险,8.9,,
185,末路狂花,导演: 雷德利·斯科特 Ridley Scott   主演: 吉娜·戴维斯 Geena Davis / 苏...                            1991 / 美国 英国 法国 / 犯罪 剧情 惊悚,9.0,,
186,纵横四海,导演: 吴宇森 John Woo   主演: 周润发 Yun-Fat Chow / 张国荣 Leslie Cheung...                            1991 / 中国香港 / 剧情 喜剧 动作 犯罪,8.8,,
187,记忆碎片,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 盖·皮尔斯 Guy Pearce /...                            2000 / 美国 / 犯罪 剧情 悬疑 惊悚,8.7,,
188,卢旺达饭店,导演: 特瑞·乔治 Terry George   主演: 唐·钱德尔 Don Cheadle / 苏菲·奥...                            2004 / 英国 南非 意大利 美国 / 剧情 传记 历史 战争,8.9,359421,
189,高山下的花环,导演: 谢晋 Jin Xie   主演: 吕晓禾 Xiaohe Lü / 唐国强 Guoqiang Tang / 何...                            1984(中国大陆) / 1985 / 中国大陆 / 剧情 战争,9.5,,
190,无敌破坏王,导演: 瑞奇·莫尔 Rich Moore   主演: 约翰·C·赖利 John C. Reilly / 萨拉...                            2012 / 美国 / 喜剧 动画 奇幻 冒险,8.7,596739,
191,小偷家族,导演: 是枝裕和 Hirokazu Koreeda   主演: 中川雅也 Lily Franky / 安藤樱 Sa...                            2018 / 日本 / 剧情 犯罪 家庭,8.7,879761,
192,冰川时代,导演: 卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge   主演...                            2002 / 美国 / 喜剧 动画 冒险,8.7,,
193,恐怖游轮,导演: 克里斯托弗·史密斯 Christopher Smith   主演: 梅利莎·乔治 Melissa ...                            2009 / 英国 澳大利亚 / 剧情 悬疑 惊悚,8.5,961634,
194,东京教父,导演: 今敏 Satoshi Kon   主演: 江守彻 Toru Emori / 梅垣义明 Yoshiaki Ume...                            2003 / 日本 / 剧情 喜剧 动画,9.0,,
195,牯岭街少年杀人事件,导演: 杨德昌 Edward Yang   主演: 张震 Chen Chang / 杨静怡 Lisa Yang / 张...                            1991 / 中国台湾 / 剧情 犯罪,8.9,,
196,魔女宅急便,导演: 宫崎骏 Hayao Miyazaki   主演: 高山南 Minami Takayama / 佐久间玲 Re...                            1989 / 日本 / 动画 奇幻 冒险,8.7,,
197,岁月神偷,导演: 罗启锐 Alex Law   主演: 吴君如 Sandra Ng / 任达华 Simon Yam / 钟绍...                            2010 / 中国香港 中国大陆 / 剧情 家庭,8.7,605038,
198,忠犬八公物语,导演: 神山征二郎 Seijirô Kôyama   主演: 仲代达矢 Tatsuya Nakadai /...                            1987 / 日本 / 剧情,9.2,,
199,荒蛮故事,导演: 达米安·斯兹弗隆 Damián Szifron   主演: 达里奥·葛兰帝内提 Darío...                            2014 / 阿根廷 西班牙 / 剧情 喜剧 犯罪,8.7,502601,
200,遗愿清单,导演: 罗伯·莱纳 Rob Reiner   主演: 杰克·尼科尔森 Jack Nicholson / 摩根...                            2007 / 美国 / 冒险 喜剧 剧情,8.7,519601,
201,大佛普拉斯,导演: 黄信尧 Hsin-yao Huang   主演: 庄益增 Yizeng Zhuang / 陈竹昇 Chu-sh...                            2017 / 中国台湾 / 剧情 喜剧,8.7,534950,
202,芙蓉镇,导演: 谢晋 Jin Xie   主演: 刘晓庆 Xiaoqing Liu / 姜文 Wen Jiang / 郑在石...                            1987 / 中国大陆 / 剧情 爱情,9.3,,
203,贫民窟的百万富翁,导演: 丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan   主演: 戴夫...                            2008 / 英国 / 剧情 爱情,8.6,794773,
204,源代码,导演: 邓肯·琼斯 Duncan Jones   主演: 杰克·吉伦哈尔 Jake Gyllenhaal / ...                            2011 / 美国 加拿大 / 科幻 悬疑 惊悚,8.6,905132,
205,疯狂的麦克斯4：狂暴之路,导演: 乔治·米勒 George Miller   主演: 汤姆·哈迪 Tom Hardy / 查理兹·塞...                            2015 / 澳大利亚 美国 / 动作 科幻 冒险,8.7,602443,
206,你看起来好像很好吃,导演: 藤森雅也 Masaya Fujimori   主演: 山口胜平 Kappei Yamaguchi / 爱河...                            2010 / 日本 / 剧情 动画 儿童,8.9,365548,
207,东邪西毒,导演: 王家卫 Kar Wai Wong   主演: 张国荣 Leslie Cheung / 林青霞 Brigitte...                            1994 / 中国香港 中国台湾 / 剧情 动作 爱情 武侠 古装,8.6,,
208,可可西里,导演: 陆川 Chuan Lu   主演: 多布杰 Duobujie / 张磊 Lei Zhang / 亓亮 Qi L...                            2004 / 中国大陆 中国香港 / 剧情 犯罪,8.9,336354,
209,爆裂鼓手,导演: 达米恩·查泽雷 Damien Chazelle   主演: 迈尔斯·特勒 Miles Teller /...                            2014 / 美国 / 剧情 音乐,8.6,670905,
210,城市之光,导演: 查理·卓别林 Charles Chaplin   主演: 查理·卓别林 Charles Chaplin ...                            1931 / 美国 / 喜剧 剧情 爱情,9.3,,
211,波西米亚狂想曲,导演: 布莱恩·辛格 Bryan Singer   主演: 拉米·马雷克 Rami Malek / 本·哈...                            2018 / 英国 美国 / 剧情 传记 同性 音乐,8.6,,
212,机器人之梦,导演: 巴勃罗·贝格尔 Pablo Berger   主演: 伊万·拉班达 Ivan Labanda / 阿...                            2023 / 西班牙 法国 / 剧情 动画 音乐,9.1,,
213,花束般的恋爱,导演: 土井裕泰 Nobuhiro Doi   主演: 菅田将晖 Masaki Suda / 有村架纯 Kasu...                            2021 / 日本 / 剧情 爱情,8.6,,
214,爱乐之城,导演: 达米恩·查泽雷 Damien Chazelle   主演: 瑞恩·高斯林 Ryan Gosling /...                            2016 / 美国 / 剧情 爱情 歌舞,8.4,,
215,白日梦想家,导演: 本·斯蒂勒 Ben Stiller   主演: 本·斯蒂勒 Ben Stiller / 克里斯汀·...                            2013 / 美国 英国 / 剧情 喜剧 冒险,8.6,,
216,黑天鹅,导演: 达伦·阿罗诺夫斯基 Darren Aronofsky   主演: 娜塔莉·波特曼 Natalie...                            2010 / 美国 / 剧情 惊悚,8.6,830729,
217,青蛇,导演: 徐克 Hark Tsui   主演: 张曼玉 Maggie Cheung / 王祖贤 Joey Wang / ...                            1993 / 中国香港 中国大陆 / 剧情 爱情 奇幻 古装,8.6,,
218,哈利·波特与死亡圣器(上),导演: 大卫·叶茨 David Yates   主演: 丹尼尔·雷德克里夫 Daniel Radcliffe...                            2010 / 英国 美国 / 奇幻 冒险,8.6,671792,
219,终结者2：审判日,导演: 詹姆斯·卡梅隆 James Cameron   主演: 阿诺·施瓦辛格 Arnold Schwarz...                            1991 / 美国 法国 / 动作 科幻,8.8,,
220,初恋这件小事,导演: 普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭...                            2010 / 泰国 / 剧情 喜剧 爱情,8.5,1036284,
221,无耻混蛋,导演: 昆汀·塔伦蒂诺 Quentin Tarantino   主演: 布拉德·皮特 Brad Pitt / ...                            2009 / 德国 美国 / 剧情 犯罪,8.7,537992,
222,新龙门客栈,导演: 李惠民 Raymond Lee   主演: 张曼玉 Maggie Cheung / 林青霞 Brigitte ...                            1992 / 中国香港 中国大陆 / 动作 爱情 武侠 古装,8.7,,
223,雨人,导演: 巴瑞·莱文森 Barry Levinson   主演: 达斯汀·霍夫曼 Dustin Hoffman ...                            1988 / 美国 / 剧情,8.7,,
224,人工智能,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 海利·乔·奥斯蒙 Haley...                            2001 / 美国 英国 / 剧情 科幻,8.7,,
225,虎口脱险,导演: 杰拉尔·乌里 Gérard Oury   主演: 路易·德·菲耐斯 Louis de Funès...                            1966 / 法国 英国 / 喜剧 战争,8.9,,
226,大红灯笼高高挂,导演: 张艺谋 Yimou Zhang   主演: 巩俐 Li Gong / 马精武 Jingwu Ma / 何赛...                            1991 / 中国大陆 中国香港 中国台湾 / 剧情,8.8,,
227,崖上的波妞,导演: 宫崎骏 Hayao Miyazaki   主演: 奈良柚莉爱 Yuria Nara / 土井洋辉 Hir...                            2008 / 日本 / 动画 奇幻 冒险,8.6,,
228,真爱至上,导演: 理查德·柯蒂斯 Richard Curtis   主演: 休·格兰特 Hugh Grant / 连姆...                            2003 / 英国 美国 法国 / 喜剧 剧情 爱情,8.5,,
229,千钧一发,导演: 安德鲁·尼科尔 Andrew Niccol   主演: 伊桑·霍克 Ethan Hawke / 乌玛...                            1997 / 美国 / 剧情 科幻 惊悚,8.8,,
230,罗生门,导演: 黑泽明 Akira Kurosawa   主演: 三船敏郎 Toshirô Mifune / 京町子 ...                            1950 / 日本 / 剧情 犯罪 悬疑,8.8,,
231,恋恋笔记本,导演: 尼克·卡索维茨 Nick Cassavetes   主演: 瑞恩·高斯林 Ryan Gosling /...                            2004 / 美国 / 剧情 爱情,8.5,732054,
232,彗星来的那一夜,导演: 詹姆斯·沃德·布柯特 James Ward Byrkit   主演: 艾米丽·芭尔多尼 Em...                            2013 / 美国 英国 / 科幻 悬疑 惊悚,8.6,660744,
233,哈利·波特与凤凰社,导演: 大卫·叶茨 David Yates   主演: 丹尼尔·雷德克里夫 Daniel Radcliffe...                            2007 / 英国 美国 / 奇幻 冒险,8.6,,
234,海边的曼彻斯特,导演: 肯尼斯·罗纳根 Kenneth Lonergan   主演: 卡西·阿弗莱克 Casey Affle...                            2016 / 美国 / 剧情 家庭,8.6,628608,
235,火星救援,导演: 雷德利·斯科特 Ridley Scott   主演: 马特·达蒙 Matt Damon / 杰西卡...                            2015 / 英国 美国 匈牙利 约旦 / 剧情 科幻 冒险,8.5,,
236,黑客帝国2：重装上阵,导演: 拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski   ...                            2003 / 美国 / 动作 科幻,8.7,,
237,奇迹男孩,导演: 斯蒂芬·卓博斯基 Stephen Chbosky   主演: 雅各布·特伦布莱 Jacob Tr...                            2017 / 美国 中国香港 / 剧情 儿童 家庭,8.6,589739,
238,萤火虫之墓,导演: 高畑勋 Isao Takahata   主演: 辰己努 / 白石绫乃 / 志乃原良子                            1988 / 日本 / 动画 剧情 战争,8.7,,
239,战争之王,导演: 安德鲁·尼科尔 Andrew Niccol   主演: 尼古拉斯·凯奇 Nicolas Cage /...                            2005 / 美国 德国 / 剧情 犯罪,8.7,405209,
240,千年女优,导演: 今敏 Satoshi Kon   主演: 庄司美代子 Miyoko Shôji / 小山茉美 Mam...                            2001 / 日本 / 动画 剧情 爱情,8.8,,
241,步履不停,导演: 是枝裕和 Hirokazu Koreeda   主演: 阿部宽 Hiroshi Abe / 夏川结衣 Yu...                            2008 / 日本 / 剧情 家庭,8.8,313430,
242,谍影重重2,导演: 保罗·格林格拉斯 Paul Greengrass   主演: 马特·达蒙 Matt Damon / ...                            2004 / 美国 德国 / 动作 悬疑 惊悚,8.7,388700,
243,血钻,导演: 爱德华·兹威克 Edward Zwick   主演: 莱昂纳多·迪卡普里奥 Leonardo ...                            2006 / 美国 德国 英国 / 剧情 惊悚 冒险,8.7,413022,
244,攻壳机动队,导演: 押井守 Mamoru Oshii   主演: 田中敦子 Atsuko Tanaka / 大冢明夫 Akio...                            1995 / 日本 / 动作 科幻 动画,9.0,,
245,蜘蛛侠：平行宇宙,导演: 鲍勃·佩尔西凯蒂 Bob Persichetti / 彼得·拉姆齐 Peter Ramsey   主...                            2018 / 美国 / 动作 科幻 动画 冒险,8.6,,
246,魂断蓝桥,导演: 茂文·勒鲁瓦 Mervyn LeRoy   主演: 费雯·丽 Vivien Leigh / 罗伯特·...                            1940 / 美国 / 剧情 爱情 战争,8.8,,
247,冰雪奇缘,导演: 克里斯·巴克 Chris Buck / 珍妮弗·李 Jennifer Lee   主演: 克里斯汀...                            2013 / 美国 / 喜剧 动画 奇幻 歌舞,8.5,,
248,房间,导演: 伦尼·阿伯拉罕森 Lenny Abrahamson   主演: 布丽·拉尔森 Brie Larson...                            2015 / 爱尔兰 加拿大 英国 美国 / 剧情 家庭,8.8,393597,
249,隐藏人物,导演: 特奥多尔·梅尔菲 Theodore Melfi   主演: 塔拉吉·P·汉森 Taraji P. ...                            2016 / 美国 / 剧情 传记 历史,8.9,,
250,谍影重重,导演: 道格·里曼 Doug Liman   主演: 马特·达蒙 Matt Damon / 弗兰卡·波坦...                            2002 / 美国 德国 捷克 / 动作 悬疑 惊悚,8.6,,
